File_Name	Description	Category	Status	Parent_Core
contract_management_table.tsv	corporate, corporations, megacorp, org, companies, businesses, syndicates, execs, bosses, corp wars, company, industrial, asset, personnel, security, management, suits, fixers, boardroom, corp power, corp assets, corp gear, contract management table	corporate_core	Canon	corporate_core
cop_jobs.tsv	encounters, events, story hooks, jobs, missions, random events, complications, story seeds, scenario, gigs, happenings, meetups, situations, street action, adventure hooks, jobs board, quest, run, plot twist, distractions, cop jobs		Reference	
cop_npc_templates.tsv	NPCs, non-player characters, contacts, factions, organizations, allies, enemies, personalities, gangs, corporations, fixers, netrunners, solo, medtechs, cops, bosses, info brokers, street gangs, corp agents, underworld, fixers, mentors, nemesis, NPCs, contacts, non-player, ally, enemy, rival, faction, fixers, netrunner NPC, medtech NPC, cop NPC, corporate NPC, gang member, boss, informant, patron, nemesis, mentor, cop npc templates	npc_core	Canon	npc_core
cop_role.tsv	roles, classes, character classes, jobs, archetypes, professions, templates, PC roles, playbooks, specializations, career paths, builds, backgrounds, character types, role, class, archetype, build, profession, job, specialization, background, playbook, path, character type, PC role, template, occupation, cop role	roles_core	Canon	roles_core
corp_asset_tracker.tsv	corporate, corporations, megacorp, org, companies, businesses, syndicates, execs, bosses, corp wars, company, industrial, asset, personnel, security, management, suits, fixers, boardroom, corp power, corp assets, corp gear, asset, map, art, handout, prop, VTT module, token, soundtrack, music, visual, resource, media, player aid, module, visual, background art, prop library, corp asset tracker	corporate_core	Canon	corporate_core
corp_npc_templates.tsv	NPCs, non-player characters, contacts, factions, organizations, allies, enemies, personalities, gangs, corporations, fixers, netrunners, solo, medtechs, cops, bosses, info brokers, street gangs, corp agents, underworld, fixers, mentors, nemesis, NPCs, contacts, non-player, ally, enemy, rival, faction, fixers, netrunner NPC, medtech NPC, cop NPC, corporate NPC, gang member, boss, informant, patron, nemesis, mentor, corp npc templates	npc_core	Canon	npc_core
corp_personnel_table.tsv	corporate, corporations, megacorp, org, companies, businesses, syndicates, execs, bosses, corp wars, company, industrial, asset, personnel, security, management, suits, fixers, boardroom, corp power, corp assets, corp gear, corp personnel table	corporate_core	Canon	corporate_core
corp_scenario_generator.tsv	encounters, events, story hooks, jobs, missions, random events, complications, story seeds, scenario, gigs, happenings, meetups, situations, street action, adventure hooks, jobs board, quest, run, plot twist, distractions, corp scenario generator	corporate_core	Canon	corporate_core
corp_security_gear.tsv	gear, equipment, items, tools, cyberware, armor, gadgets, supplies, tech, personal gear, cyberpets, utility items, medical supplies, novelty items, wearables, upgrades, enhancements, loot, swag, chrome, junk, mods, loot, loadout, inventory, street gear, gear, equipment, loot, swag, street gear, inventory, supplies, gadgets, tools, personal gear, tech gear, loadout, stuff, carry, stims, medkit, packs, cyberpets, scanner, scanner, gadgets, street stuff, corp security gear	corporate_core	Canon	corporate_core
corp_war_timeline.tsv	corporate, corporations, megacorp, org, companies, businesses, syndicates, execs, bosses, corp wars, company, industrial, asset, personnel, security, management, suits, fixers, boardroom, corp power, corp assets, corp gear, corp war timeline	corporate_core	Canon	corporate_core
corpo_brokers_table.tsv	corpo brokers, executive liaisons, corporate negotiators, business fixers, corp agents, dealmakers, suit intermediaries, corporate brokers, business contacts		Reference	
corporate_core.tsv	corporate, corporations, megacorp, org, companies, businesses, syndicates, execs, bosses, corp wars, company, industrial, asset, personnel, security, management, suits, fixers, boardroom, corp power, corp assets, corp gear, corporate, corporation, business, syndicate, company, org, executive, asset, personnel, boss, management, megacorp, power, corp war, corp asset, corp suit, exec, industrial, boardroom, corporate core	corporate_core	Root	
corporate_jobs.tsv	encounters, events, story hooks, jobs, missions, random events, complications, story seeds, scenario, gigs, happenings, meetups, situations, street action, adventure hooks, jobs board, quest, run, plot twist, distractions, corporate, corporation, business, syndicate, company, org, executive, asset, personnel, boss, management, megacorp, power, corp war, corp asset, corp suit, exec, industrial, boardroom, corporate jobs	corporate_core	Canon	corporate_core
corporate_relationships_matrix.tsv	cyberdecks, netrunner, netrunning, VR, AR, ICE, programs, virtuality, hacking, matrix, cyberspace, net combat, interface plugs, virtual reality, AI, deck, brain dance, net tools, neural link, cybermodem, net ops, deckers, net gear, corporate, corporation, business, syndicate, company, org, executive, asset, personnel, boss, management, megacorp, power, corp war, corp asset, corp suit, exec, industrial, boardroom, corporate relationships matrix	corporate_core	Canon	corporate_core
corporate_role.tsv	corporate, exec, executive, manager, suit, business agent, corp rep, administrator, CEO, company man, board member, role: corporate	roles_core	Canon	roles_core
corporations_table.tsv	corporate, corporations, megacorp, org, companies, businesses, syndicates, execs, bosses, corp wars, company, industrial, asset, personnel, security, management, suits, fixers, boardroom, corp power, corp assets, corp gear, corporations table	corporate_core	Canon	corporate_core
cyberpets_table.tsv	cyberpets table	gear_core	Canon	gear_core
cyberpsychosis_progression.tsv	cyberpsychosis, humanity loss, cyber psychosis, mental breakdown, cybernetic psychosis, chrome sickness, AI derangement, mind decay, psychological spiral, loss tracker		Reference	
cyberpunk2020_engine.py	rules engine, CP2020 core, legacy rules, cyberpunk edition engine, system kernel, 2020 mechanics, classic CP engine, rulebase	system	Reference	
cyberware_table.tsv	gear, equipment, items, tools, cyberware, armor, gadgets, supplies, tech, personal gear, cyberpets, utility items, medical supplies, novelty items, wearables, upgrades, enhancements, loot, swag, chrome, junk, mods, loot, loadout, inventory, street gear, cyberware, chrome, implants, mods, enhancements, neuralware, bioware, nanotech, wetware, borg, fullborg, prosthetic, upgrades, augmentations, cyberlimb, interface plug, cyber eyes, cyber ears, cyberarms, cybereyes, cyberlegs, cyber mods, cyberware table	gear_core	Canon	gear_core
data_fortress.tsv	data fortress	cyberdecks_virtuality_core	Canon	cyberdecks_virtuality_core
difficulty_table.tsv	difficulty table	system_core	Canon	system_core
downtime_table.tsv	downtime table		Reference	
education_sin_table.tsv	education sin table	setting_core	Canon	setting_core
encounters_core.tsv	encounters, events, story hooks, jobs, missions, random events, complications, story seeds, scenario, gigs, happenings, meetups, situations, street action, adventure hooks, jobs board, quest, run, plot twist, distractions, encounters, events, meetings, situations, random, scenarios, street action, jobs, runs, mission, story hook, plot, complication, adventure, encounters core	encounters_core	Root	
event_randomizers.tsv	encounters, events, story hooks, jobs, missions, random events, complications, story seeds, scenario, gigs, happenings, meetups, situations, street action, adventure hooks, jobs board, quest, run, plot twist, distractions, event randomizers	system_core	Canon	system_core
explosives_table.tsv	weapons, guns, firearms, ranged weapons, melee weapons, explosives, pistols, rifles, SMGs, shotguns, heavy weapons, grenades, ordnance, ammo, blades, bows, clubs, shooters, armament, pew-pew, firepower, weapon mods, gunplay, explosives table	weapons_core	Canon	weapons_core
external_integration_table.tsv	plugins, macros, scripts, API, integration, extensions, add-ons, external tools, VTT, automation, mod, custom features, external integration, macro scripts, plugin tools, external integration table	plugins_core	Canon	plugins_core
faction_reactions.tsv	NPCs, non-player characters, contacts, factions, organizations, allies, enemies, personalities, gangs, corporations, fixers, netrunners, solo, medtechs, cops, bosses, info brokers, street gangs, corp agents, underworld, fixers, mentors, nemesis, faction reactions	setting_core	Canon	setting_core
faults_table.tsv	faults table	gear_core	Canon	gear_core
fix_report.txt	bug report, error log, issue list, troubleshooting, patch notes, problem record, fix documentation, issue tracker, error history	reference	Reference	
fixer_jobs.tsv	services, clinics, ripperdocs, black market, fixers, medtech, surgery, providers, street docs, medical, healing, bribery, employment, hire, mercenaries, bribes, gigs, street services, underworld, favors, insurance, trauma team, aftercare, fixer jobs		Reference	
fixer_role.tsv	roles, classes, character classes, jobs, archetypes, professions, templates, PC roles, playbooks, specializations, career paths, builds, backgrounds, character types, role, class, archetype, build, profession, job, specialization, background, playbook, path, character type, PC role, template, occupation, fixer role	roles_core	Canon	roles_core
fixers_master_index.tsv	services, clinics, ripperdocs, black market, fixers, medtech, surgery, providers, street docs, medical, healing, bribery, employment, hire, mercenaries, bribes, gigs, street services, underworld, favors, insurance, trauma team, aftercare, fixers master index	npc_core	Canon	npc_core
fixers_table.tsv	services, clinics, ripperdocs, black market, fixers, medtech, surgery, providers, street docs, medical, healing, bribery, employment, hire, mercenaries, bribes, gigs, street services, underworld, favors, insurance, trauma team, aftercare, fixers table	npc_core	Canon	npc_core
fixers_table.tsv	services, clinics, ripperdocs, black market, fixers, medtech, surgery, providers, street docs, medical, healing, bribery, employment, hire, mercenaries, bribes, gigs, street services, underworld, favors, insurance, trauma team, aftercare, fixers table	npc_core	Canon	npc_core
fullborg_rules.md	fullborg rules, cybernetic full conversion, borg mechanics, total cyborg, chrome rules, full body replacement, borg stats, borg play rules, full body conversion	reference	Reference	
gang_jobs.tsv	NPCs, non-player characters, contacts, factions, organizations, allies, enemies, personalities, gangs, corporations, fixers, netrunners, solo, medtechs, cops, bosses, info brokers, street gangs, corp agents, underworld, fixers, mentors, nemesis, gang jobs	npc_core	Canon	npc_core
gang_npcs.tsv	NPCs, non-player characters, contacts, factions, organizations, allies, enemies, personalities, gangs, corporations, fixers, netrunners, solo, medtechs, cops, bosses, info brokers, street gangs, corp agents, underworld, fixers, mentors, nemesis, NPCs, contacts, non-player, ally, enemy, rival, faction, fixers, netrunner NPC, medtech NPC, cop NPC, corporate NPC, gang member, boss, informant, patron, nemesis, mentor, gang npcs	npc_core	Canon	npc_core
gear_core.tsv	gear, equipment, items, tools, cyberware, armor, gadgets, supplies, tech, personal gear, cyberpets, utility items, medical supplies, novelty items, wearables, upgrades, enhancements, loot, swag, chrome, junk, mods, loot, loadout, inventory, street gear, gear, equipment, loot, swag, street gear, inventory, supplies, gadgets, tools, personal gear, tech gear, loadout, stuff, carry, stims, medkit, packs, cyberpets, scanner, scanner, gadgets, street stuff, gear core	gear_core	Root	
gear_maintenance_table.tsv	gear, equipment, items, tools, cyberware, armor, gadgets, supplies, tech, personal gear, cyberpets, utility items, medical supplies, novelty items, wearables, upgrades, enhancements, loot, swag, chrome, junk, mods, loot, loadout, inventory, street gear, gear, equipment, loot, swag, street gear, inventory, supplies, gadgets, tools, personal gear, tech gear, loadout, stuff, carry, stims, medkit, packs, cyberpets, scanner, scanner, gadgets, street stuff, gear maintenance table	gear_core	Canon	gear_core
gear_table.tsv	gear, equipment, items, tools, cyberware, armor, gadgets, supplies, tech, personal gear, cyberpets, utility items, medical supplies, novelty items, wearables, upgrades, enhancements, loot, swag, chrome, junk, mods, loot, loadout, inventory, street gear, gear, equipment, loot, swag, street gear, inventory, supplies, gadgets, tools, personal gear, tech gear, loadout, stuff, carry, stims, medkit, packs, cyberpets, scanner, scanner, gadgets, street stuff, gear table	gear_core	Canon	gear_core
gear_upgrade_table.tsv	gear, equipment, items, tools, cyberware, armor, gadgets, supplies, tech, personal gear, cyberpets, utility items, medical supplies, novelty items, wearables, upgrades, enhancements, loot, swag, chrome, junk, mods, loot, loadout, inventory, street gear, gear, equipment, loot, swag, street gear, inventory, supplies, gadgets, tools, personal gear, tech gear, loadout, stuff, carry, stims, medkit, packs, cyberpets, scanner, scanner, gadgets, street stuff, gear upgrade table	gear_core	Canon	gear_core
heavy_weapons_table.tsv	weapons, guns, firearms, ranged weapons, melee weapons, explosives, pistols, rifles, SMGs, shotguns, heavy weapons, grenades, ordnance, ammo, blades, bows, clubs, shooters, armament, pew-pew, firepower, weapon mods, gunplay, weapons, guns, shooters, firepower, armament, ranged, melee, ammo, explosives, pew pew, arms, pistols, rifles, blades, grenades, big iron, boomsticks, ordnance, heavy weapons table	weapons_core	Canon	weapons_core
ice_table.tsv	cyberdecks, netrunner, netrunning, VR, AR, ICE, programs, virtuality, hacking, matrix, cyberspace, net combat, interface plugs, virtual reality, AI, deck, brain dance, net tools, neural link, cybermodem, net ops, deckers, net gear, ice table	cyberdecks_virtuality_core	Canon	cyberdecks_virtuality_core
index.tsv	master index, file listing, directory, table of contents, data overview, resource list, system catalog, data map, content index	reference	Reference	
industrial_personnel_table.tsv	corporate, corporations, megacorp, org, companies, businesses, syndicates, execs, bosses, corp wars, company, industrial, asset, personnel, security, management, suits, fixers, boardroom, corp power, corp assets, corp gear, industrial personnel table	corporate_core	Canon	corporate_core
job_generator.md		reference	Reference	
law_enforcement_checklists.md		reference	Reference	
lifepath_generator.tsv	lifepath generator	gear_core	Canon	gear_core
location_event_generator.tsv	encounters, events, story hooks, jobs, missions, random events, complications, story seeds, scenario, gigs, happenings, meetups, situations, street action, adventure hooks, jobs board, quest, run, plot twist, distractions, location event generator	encounters_core	Canon	encounters_core
location_generator.tsv	setting, regions, locations, factions, politics, districts, neighborhoods, hot zones, city, towns, landmarks, corp turf, territory, places, area, POI, night city, locale, power, political, turf war, map, environment, location generator	vehicle_core	Canon	vehicle_core
logging.yaml	logging settings, debug config, monitoring, log file, system logs, diagnostics, error reporting, audit trail, event log	reference	Reference	
macro_scripts_table.tsv	plugins, macros, scripts, API, integration, extensions, add-ons, external tools, VTT, automation, mod, custom features, external integration, macro scripts, plugin tools, macro scripts table	plugins_core	Canon	plugins_core
main.py	automation script, python main, launcher, entrypoint, core code, startup logic, program core, service runner, backend main	system	Reference	
map_assets_table.tsv	assets, maps, art, soundtrack, handouts, VTT modules, props, visuals, sound, music, prop library, resources, visuals, handouts, module, tokens, background art, player aids, media, asset, map, art, handout, prop, VTT module, token, soundtrack, music, visual, resource, media, player aid, module, visual, background art, prop library, map assets table	assets_core	Canon	assets_core
media_jobs.tsv	encounters, events, story hooks, jobs, missions, random events, complications, story seeds, scenario, gigs, happenings, meetups, situations, street action, adventure hooks, jobs board, quest, run, plot twist, distractions, media jobs		Reference	
media_role.tsv	roles, classes, character classes, jobs, archetypes, professions, templates, PC roles, playbooks, specializations, career paths, builds, backgrounds, character types, role, class, archetype, build, profession, job, specialization, background, playbook, path, character type, PC role, template, occupation, media role	roles_core	Canon	roles_core
medical_supplies_table.tsv	medical supplies table	gear_core	Canon	gear_core
medkit_table.tsv	medkit table	gear_core	Canon	gear_core
medtech_tools_table.tsv	gear, equipment, items, tools, cyberware, armor, gadgets, supplies, tech, personal gear, cyberpets, utility items, medical supplies, novelty items, wearables, upgrades, enhancements, loot, swag, chrome, junk, mods, loot, loadout, inventory, street gear, medtech tools table	gear_core	Canon	gear_core
mission_complication_table.tsv	encounters, events, story hooks, jobs, missions, random events, complications, story seeds, scenario, gigs, happenings, meetups, situations, street action, adventure hooks, jobs board, quest, run, plot twist, distractions, mission complication table	campaigns_core	Canon	campaigns_core
net_law_table.tsv	cyberdecks, netrunner, netrunning, VR, AR, ICE, programs, virtuality, hacking, matrix, cyberspace, net combat, interface plugs, virtual reality, AI, deck, brain dance, net tools, neural link, cybermodem, net ops, deckers, net gear, net law table	cyberdecks_virtuality_core	Canon	cyberdecks_virtuality_core
net_map_generator.tsv	cyberdecks, netrunner, netrunning, VR, AR, ICE, programs, virtuality, hacking, matrix, cyberspace, net combat, interface plugs, virtual reality, AI, deck, brain dance, net tools, neural link, cybermodem, net ops, deckers, net gear, net map generator	cyberdecks_virtuality_core	Canon	cyberdecks_virtuality_core
net_npc_personality_table.tsv	NPCs, non-player characters, contacts, factions, organizations, allies, enemies, personalities, gangs, corporations, fixers, netrunners, solo, medtechs, cops, bosses, info brokers, street gangs, corp agents, underworld, fixers, mentors, nemesis, NPCs, contacts, non-player, ally, enemy, rival, faction, fixers, netrunner NPC, medtech NPC, cop NPC, corporate NPC, gang member, boss, informant, patron, nemesis, mentor, net npc personality table	cyberdecks_virtuality_core	Canon	cyberdecks_virtuality_core
net_social_events_table.tsv	encounters, events, story hooks, jobs, missions, random events, complications, story seeds, scenario, gigs, happenings, meetups, situations, street action, adventure hooks, jobs board, quest, run, plot twist, distractions, net social events table	cyberdecks_virtuality_core	Canon	cyberdecks_virtuality_core
netrunner_jobs.tsv	encounters, events, story hooks, jobs, missions, random events, complications, story seeds, scenario, gigs, happenings, meetups, situations, street action, adventure hooks, jobs board, quest, run, plot twist, distractions, netrunner jobs		Reference	
netrunner_role.tsv	roles, classes, character classes, jobs, archetypes, professions, templates, PC roles, playbooks, specializations, career paths, builds, backgrounds, character types, role, class, archetype, build, profession, job, specialization, background, playbook, path, character type, PC role, template, occupation, netrunner role	roles_core	Canon	roles_core
netrunner_trauma_table.tsv	cyberdecks, netrunner, netrunning, VR, AR, ICE, programs, virtuality, hacking, matrix, cyberspace, net combat, interface plugs, virtual reality, AI, deck, brain dance, net tools, neural link, cybermodem, net ops, deckers, net gear, netrunner trauma table	cyberdecks_virtuality_core	Canon	cyberdecks_virtuality_core
night_city_locations.tsv	setting, regions, locations, factions, politics, districts, neighborhoods, hot zones, city, towns, landmarks, corp turf, territory, places, area, POI, night city, locale, power, political, turf war, map, environment, night city locations	setting_core	Canon	setting_core
nomad_pack_jobs.tsv	encounters, events, story hooks, jobs, missions, random events, complications, story seeds, scenario, gigs, happenings, meetups, situations, street action, adventure hooks, jobs board, quest, run, plot twist, distractions, nomad pack jobs		Reference	
nomad_relationships_matrix.tsv	cyberdecks, netrunner, netrunning, VR, AR, ICE, programs, virtuality, hacking, matrix, cyberspace, net combat, interface plugs, virtual reality, AI, deck, brain dance, net tools, neural link, cybermodem, net ops, deckers, net gear, nomad relationships matrix	npc_core	Canon	npc_core
nomad_role.tsv	roles, classes, character classes, jobs, archetypes, professions, templates, PC roles, playbooks, specializations, career paths, builds, backgrounds, character types, role, class, archetype, build, profession, job, specialization, background, playbook, path, character type, PC role, template, occupation, nomad role	roles_core	Canon	roles_core
novelty_items_table.tsv	gear, equipment, items, tools, cyberware, armor, gadgets, supplies, tech, personal gear, cyberpets, utility items, medical supplies, novelty items, wearables, upgrades, enhancements, loot, swag, chrome, junk, mods, loot, loadout, inventory, street gear, novelty items table	gear_core	Canon	gear_core
npc_core.tsv	NPCs, non-player characters, contacts, factions, organizations, allies, enemies, personalities, gangs, corporations, fixers, netrunners, solo, medtechs, cops, bosses, info brokers, street gangs, corp agents, underworld, fixers, mentors, nemesis, NPCs, contacts, non-player, ally, enemy, rival, faction, fixers, netrunner NPC, medtech NPC, cop NPC, corporate NPC, gang member, boss, informant, patron, nemesis, mentor, npc core	npc_core	Root	
npc_directory.tsv	NPCs, non-player characters, contacts, factions, organizations, allies, enemies, personalities, gangs, corporations, fixers, netrunners, solo, medtechs, cops, bosses, info brokers, street gangs, corp agents, underworld, fixers, mentors, nemesis, NPCs, contacts, non-player, ally, enemy, rival, faction, fixers, netrunner NPC, medtech NPC, cop NPC, corporate NPC, gang member, boss, informant, patron, nemesis, mentor, npc directory	npc_core	Canon	npc_core
npc_quirks.tsv	NPCs, non-player characters, contacts, factions, organizations, allies, enemies, personalities, gangs, corporations, fixers, netrunners, solo, medtechs, cops, bosses, info brokers, street gangs, corp agents, underworld, fixers, mentors, nemesis, NPCs, contacts, non-player, ally, enemy, rival, faction, fixers, netrunner NPC, medtech NPC, cop NPC, corporate NPC, gang member, boss, informant, patron, nemesis, mentor, npc quirks	npc_core	Canon	npc_core
npc_templates.tsv	NPCs, non-player characters, contacts, factions, organizations, allies, enemies, personalities, gangs, corporations, fixers, netrunners, solo, medtechs, cops, bosses, info brokers, street gangs, corp agents, underworld, fixers, mentors, nemesis, NPCs, contacts, non-player, ally, enemy, rival, faction, fixers, netrunner NPC, medtech NPC, cop NPC, corporate NPC, gang member, boss, informant, patron, nemesis, mentor, npc templates	npc_core	Canon	npc_core
plugins_core.tsv	plugins, macros, scripts, API, integration, extensions, add-ons, external tools, VTT, automation, mod, custom features, external integration, macro scripts, plugin tools, plugin, macro, script, API, integration, automation, extension, addon, VTT, mod, tool, macro script, plugin feature, external tool, plugins core	plugins_core	Root	
political_hooks_table.tsv	setting, regions, locations, factions, politics, districts, neighborhoods, hot zones, city, towns, landmarks, corp turf, territory, places, area, POI, night city, locale, power, political, turf war, map, environment, political hooks table	setting_core	Canon	setting_core
prebuilt_characters.tsv	prebuilt characters, sample characters, templates, pregenerated PCs, ready-made, player templates, archetypes, NPCs, canon characters, statlines, starter builds, character selection, example PC, player options, fast start, sample NPC, prebuilt characters	roles_core	Canon	roles_core
price_reference.tsv	cyberdecks, netrunner, netrunning, VR, AR, ICE, programs, virtuality, hacking, matrix, cyberspace, net combat, interface plugs, virtual reality, AI, deck, brain dance, net tools, neural link, cybermodem, net ops, deckers, net gear, price reference	gear_core	Canon	gear_core
privacy_policy.txt	privacy terms, data policy, legal terms, confidentiality, data handling, user rights, data security, compliance, privacy agreement	reference	Reference	
prop_library.tsv	assets, maps, art, soundtrack, handouts, VTT modules, props, visuals, sound, music, prop library, resources, visuals, handouts, module, tokens, background art, player aids, media, prop library	assets_core	Canon	assets_core
psych_loss_table.tsv	psych loss table	npc_core	Canon	npc_core
referee_prompts.md		reference	Reference	
region_economy_table.tsv	setting, regions, locations, factions, politics, districts, neighborhoods, hot zones, city, towns, landmarks, corp turf, territory, places, area, POI, night city, locale, power, political, turf war, map, environment, region economy table	setting_core	Canon	setting_core
region_encounters_table.tsv	encounters, events, story hooks, jobs, missions, random events, complications, story seeds, scenario, gigs, happenings, meetups, situations, street action, adventure hooks, jobs board, quest, run, plot twist, distractions, encounters, events, meetings, situations, random, scenarios, street action, jobs, runs, mission, story hook, plot, complication, adventure, region encounters table	setting_core	Canon	setting_core
region_npc_stat_table.tsv	NPCs, non-player characters, contacts, factions, organizations, allies, enemies, personalities, gangs, corporations, fixers, netrunners, solo, medtechs, cops, bosses, info brokers, street gangs, corp agents, underworld, fixers, mentors, nemesis, NPCs, contacts, non-player, ally, enemy, rival, faction, fixers, netrunner NPC, medtech NPC, cop NPC, corporate NPC, gang member, boss, informant, patron, nemesis, mentor, region npc stat table	setting_core	Canon	setting_core
regional_encounters.tsv	encounters, events, story hooks, jobs, missions, random events, complications, story seeds, scenario, gigs, happenings, meetups, situations, street action, adventure hooks, jobs board, quest, run, plot twist, distractions, encounters, events, meetings, situations, random, scenarios, street action, jobs, runs, mission, story hook, plot, complication, adventure, regional encounters	encounters_core	Canon	encounters_core
relationship_matrix.tsv	cyberdecks, netrunner, netrunning, VR, AR, ICE, programs, virtuality, hacking, matrix, cyberspace, net combat, interface plugs, virtual reality, AI, deck, brain dance, net tools, neural link, cybermodem, net ops, deckers, net gear, relationship matrix	npc_core	Canon	npc_core
requirements.txt	python dependencies, install list, pip requirements, library list, needed packages, setup modules, install dependencies	reference	Reference	
ripperdoc_contacts.tsv	NPCs, non-player characters, contacts, factions, organizations, allies, enemies, personalities, gangs, corporations, fixers, netrunners, solo, medtechs, cops, bosses, info brokers, street gangs, corp agents, underworld, fixers, mentors, nemesis, ripperdoc contacts	npc_core	Canon	npc_core
ripperdoc_contacts.tsv	NPCs, non-player characters, contacts, factions, organizations, allies, enemies, personalities, gangs, corporations, fixers, netrunners, solo, medtechs, cops, bosses, info brokers, street gangs, corp agents, underworld, fixers, mentors, nemesis, ripperdoc contacts	npc_core	Canon	npc_core
ripperdoc_contacts_table.tsv	NPCs, non-player characters, contacts, factions, organizations, allies, enemies, personalities, gangs, corporations, fixers, netrunners, solo, medtechs, cops, bosses, info brokers, street gangs, corp agents, underworld, fixers, mentors, nemesis, ripperdoc contacts table	services_core	Canon	services_core
ripperdoc_jobs.tsv	services, clinics, ripperdocs, black market, fixers, medtech, surgery, providers, street docs, medical, healing, bribery, employment, hire, mercenaries, bribes, gigs, street services, underworld, favors, insurance, trauma team, aftercare, ripperdoc jobs	services_core	Canon	services_core
ripperdoc_loyalty_hooks.tsv	services, clinics, ripperdocs, black market, fixers, medtech, surgery, providers, street docs, medical, healing, bribery, employment, hire, mercenaries, bribes, gigs, street services, underworld, favors, insurance, trauma team, aftercare, ripperdoc loyalty hooks	services_core	Canon	services_core
