Modification Name	Vehicle Type Compatibility	Description	Effect/Benefit	Cost	Installation Difficulty	Weight Change	Availability	Special Notes	Source
Active Camouflage System	Car, APC	Adaptive camo changing vehicle color and pattern	Improves stealth and reduces detection range	25,000 eb	TECH vs 22	+45 kg	Very Rare	Power intensive; limited operation time	Chromebook 3-4 p.76
Emergency Medical Station	APC, Van	Equipped medical bay for battlefield first aid	Allows on-site treatment and stabilization	10,000 eb	TECH vs 17	+150 kg	Rare	Requires trained personnel; limited supplies	Core Rulebook p.123
Heavy-Duty Braking System	Car, Truck	Upgraded braking system for better stopping power	Improves stopping distance by 30%	3,500 eb	TECH vs 15	+30 kg	Common	Requires frequent maintenance	Maximum Metal p.52
Reinforced Electrical Systems	All Vehicles	Protects vehicle electronics against EMP and electrical surges	Increases resistance to EMP and power spikes	7,000 eb	TECH vs 18	+20 kg	Rare	May interfere with sensitive electronics	Chromebook 3-4 p.73
Thermal Exhaust Diffuser	Car, Truck	Modifies exhaust to reduce thermal signature	Decreases heat signature for stealth operations	6,000 eb	TECH vs 16	+15 kg	Rare	Reduces engine power slightly	Maximum Metal p.54
Heavy Armor Skirts	APC, Truck	Protective skirts shielding undercarriage from mines and blasts	Increases protection against mines and side attacks	9,000 eb	TECH vs 19	+120 kg	Rare	Heavier; reduces maneuverability	Maximum Metal p.58
Sound Dampening Kit	Car, Motorcycle	Reduces engine and road noise for stealthier operation	Decreases noise by 50%	4,000 eb	TECH vs 14	+10 kg	Common	May reduce engine cooling efficiency	Chromebook 3-4 p.70
Nano-Repair Matrix	All Vehicles	Embedded nanotech for automated repair of minor damage	Automatically repairs minor damage over time	20,000 eb	TECH vs 22	+30 kg	Very Rare	Consumes power; limited to non-critical damage	Maximum Metal p.54
Infrared Jammer	All Vehicles	Emits IR signals to confuse heat-seeking devices	Reduces effectiveness of heat-seeking missiles and sensors	8,000 eb	TECH vs 18	+20 kg	Rare	Power intensive; limited operational duration	Chromebook 3-4 p.74
Hydraulic Weapon Stabilizers	APC, Tank	Reduces recoil and improves weapon accuracy	Improves weapon hit chance by +2	7,500 eb	TECH vs 19	+60 kg	Rare	Requires power; maintenance intensive	Maximum Metal p.57
Electrochromatic Windows	Car, Truck	Windows that can tint or become opaque on demand	Improves privacy and reduces glare	3,500 eb	TECH vs 16	+15 kg	Common	Can malfunction or be hacked	Chromebook 3-4 p.70
Emergency Fire Suppression	All Vehicles	Automated fire suppression system for engine and fuel compartments	Reduces fire damage and spreads	4,500 eb	TECH vs 17	+25 kg	Common	Activates automatically; limited chemical reserves	Maximum Metal p.55
Steerable Side Skirts	APC, Truck	Adjustable skirts for better protection and terrain handling	Improves side armor and off-road performance	6,500 eb	TECH vs 18	+100 kg	Rare	May reduce speed and handling	Maximum Metal p.58
Quick-Deploy Spike Strips	All Vehicles	Deploys tire-puncturing strips to stop pursuing vehicles	Allows quick deployment of spike strips during chase	2,500 eb	TECH vs 14	+10 kg	Common	Single-use; requires quick reflexes	Chromebook 2 p.38
Laser Tripwire	APC, Tank	Deployable laser sensors for perimeter defense	Alerts vehicle of nearby movement or threats	4,000 eb	TECH vs 16	+20 kg	Rare	Requires power; can be bypassed	Maximum Metal p.59
Advanced Radar Jammer	All Vehicles	Advanced system to jam and confuse radar signals	Decreases chance of detection by radar	9,000 eb	TECH vs 19	+25 kg	Rare	Power hungry; vulnerable to countermeasures	Chromebook 3-4 p.74
