Category	Weapon	Type	Damage	Ammo	RoF	Range (m)	Cost (eb)	Weight (kg)	Reliability	Availability	Concealability	Skill Used	Vs Stat/Check	DV	Special Notes	Source
Shotgun	Tsunami Arms SA-12	Shotgun	6d6	10	2	50	1400	3.9	High	Rare	Shoulder	Shotgun	REF + Shotgun vs. DV	14	Military-style semi-auto	Chromebook 2
Shotgun	ONI Autoshootgun	Shotgun	4d6+3	180	1/3/5	75	1200	10.5	Special	Rare	Shoulder	Shotgun	BODY ≥ 8 & REF + Shotgun vs. DV	18	Mounted, PA-compatible, belt-fed	Blackhand’s
Melee	Mono-Katana	Blade	3d6	—	1	1	500	2.0	High	Rare	Jacket	Melee	REF + Melee vs. DV	12	Ignores ½ SP of soft armor	Streetfighting
Melee	Cyberblade	Implant	4d6	—	1	1	2000	2.0	Special	Very Rare	Internal	Melee	BODY vs. DV	14	Mounted in forearm, retractable	Chromebook 2
Melee	Electric Cestus	Glove	2d6+Stun	—	1	1	1000	1.5	High	Rare	Glove	Melee	REF vs. DV	11	Shock effect on hit, EMP vulnerable	Blackhand’s
Melee	Switchblade Knife	Blade	1d6	—	1	1	100	0.5	Standard	Common	Pocket	Melee	REF vs. DV	10	Quick draw, easily concealed	Core Rulebook
Melee	Telescoping Baton	Blunt	1d6+1	—	1	1	150	1.2	Reliable	Common	Jacket	Melee	REF vs. DV	10	+2 to conceal vs. frisk	Streetfighting
Melee	Ripper	Implant	2d6	—	2	1	500	0.3	Standard	Common	Internal	Melee	REF vs. DV	11	Cyberfinger blade, poor reach	Chromebook 1
Melee	Neural Whip	Cyber	3d6	—	1	2	1500	1.8	Special	Rare	Jacket	Melee	BODY vs. DV	13	Stuns cyberware on 10+	Chromebook 3
Melee	Cyberarm Sledge	Implant	5d6	—	1	1	2500	5.0	Special	Very Rare	Internal	Melee	BODY ≥ 10 vs. DV	16	Devastating strike, slow recovery	Max Metal
Melee	Mono-Garrote	Wire	2d6	—	1	1	350	0.5	Standard	Rare	Pocket	Melee	REF vs. DV	12	Can silently incapacitate if surprise hit	Streetfighting
Melee	Panther Claws	Implant	3d6	—	2	1	2000	1.0	Special	Rare	Internal	Melee	REF + Melee vs. DV	13	Retractable hand blades	Chromebook 4
Exotic	Railgun Rifle	Rifle	8d6	5	1	800	15000	20.0	Special	Extreme	Shoulder	Rifle	BODY ≥ 12 & REF + Rifle vs. DV	20	Penetrates vehicles and bunkers	Maximum Metal
Exotic	Smartgun HRR	Smart	Variable	—	—	—	7000	1.5	High	Very Rare	Shoulder	Smartgun	REF + Smartgun Link vs. DV	18	Variable ammo modes, only usable with smartlink	Chromebook 3
Exotic	Pulse Laser Rifle	Energy	6d6	20	2	500	18000	10.0	Special	Rare	Shoulder	Energy Weapons	REF + Energy skill vs. DV	17	Bypasses most soft armor	Chromebook 4
Exotic	Thermal Lance	Energy	7d6	1	1	10	2000	5.0	Standard	Rare	Shoulder	Energy Weapons	BODY + TECH vs. DV	16	Cuts through doors and armor plating	Chromebook 2
Exotic	Needler Pistol	Exotic	2d6 (AP)	30	3	75	1200	1.0	Low	Rare	Jacket	Exotic Weapons	REF + Exotic skill vs. DV	14	Armor piercing needle barrage	Blackhand’s
Exotic	Gas Gun (C-22)	Gas	3d6/round	2	1	50	1800	2.2	Standard	Rare	Shoulder	Exotic Weapons	BODY vs. DV	13	Persistent cloud, inhalation effect	Chromebook 1
Exotic	Taser Implant	Implant	Stun	—	1	1	0	750	0.3	Reliable	Uncommon	Internal	Melee	REF vs. DV	12	Stuns target for 1d3 rounds	Chromebook 2
Exotic	Sonic Stunner	Pistol	Stun	1d6 (Stun)	5	2	30	950	1.0	Standard	Common	Jacket	Stun Weapons	REF vs. DV	11	May cause disorientation for 1 round	Protect & Serve
Exotic	Spider Mine	Drone	3d6 (Explosive)	N/A	1	—	1200	1.2	Standard	Rare	None	Tech/Remote	TECH vs. DV	14	Autonomous crawling explosive	Chromebook 3
Stun	C-22 Stun Baton	Baton	1d6 (Stun)	—	1	1	300	1.2	High	Common	Jacket	Melee	REF vs. DV	10	+2 to disarm rolls, may shock on hit	Protect & Serve
Stun	Netgun 9000	Net	Stun (Restrains)	1	1	15	450	2.0	Standard	Rare	Shoulder	Exotic	REF vs. DV	12	Immobilizes target, -4 to escape attempts	Wilde Side
Utility	Tactical Laser Dazzler	Light	Stun	3	1	30	600	1.0	High	Rare	Pocket	Stun Devices	REF vs. DV	11	Blinds targets, no damage	Protect & Serve
Utility	Smart Cuffs	Restraint	—	—	—	—	300	0.3	Reliable	Common	Pocket	Tech Devices	TECH vs. DV	10	Remote lock/unlock, tamper alerts	Chromebook 3
Utility	Crowd Dispersal Spray	Chem	Stun (Choke)	5	1	10	200	0.6	Standard	Common	Pocket	Throwing	REF vs. DV	10	Inhalation; affects COOL and MOVE	Wildside
Stun	Taser (Handheld)	Stun	Stun	1	1	10	250	1.0	Standard	Common	Pocket	Melee	REF vs. DV	10	Stuns target 1d3 rounds	Core Rulebook
Stun	Taser (Cannon, Vehicle-Mount)	Stun	Stun	1	1	75	1200	4.5	Reliable	Rare	Shoulder	Gunnery	REF + Gunnery vs. DV	14	Vehicle mount only, stuns cyborgs and unarmored targets	Protect & Serve
