Sensor Name	Detection Type	Range (meters)	Power Consumption	Cost (eb)	Availability	Vs Stat/Check	DV	Special Notes	Source
Remote Targeting Link	Electronic/Fire Control	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	Indirect fire data, 0 space	Maximum-Metal.pdf p.68, Chromebook 3-4
Motion Detectors	Seismic/Vibration	125	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	Vibration geophones in feet, detects all movement (mod. by size/bg vibration)	Maximum-Metal.pdf p.68, Chromebook 3-4
Magnetometer	Magnetic/Metal	100–200	[TBD]	3,000	P	[TBD]	[TBD]	Pinpoints large metal masses (100–200m), detects railguns (300m when firing), left arm mount	Maximum-Metal.pdf p.68, Chromebook 3-4
Microwave Detector	Microwave	[TBD]	[TBD]	5,000	P	[TBD]	[TBD]	Detects focused microwave (e.g., rangefinders) 90% of time, can trigger chaff	Maximum-Metal.pdf p.68, Chromebook 3-4
Navigation System	Comm/Electronic	Global (satlink)	[TBD]	1,000	C	[TBD]	[TBD]	Satellite/computer navigation, gives exact location	Maximum-Metal.pdf p.68, Chromebook 3-4
Radar (Military)	Radar	50,000 (50 km)	[TBD]	10,000	P	[TBD]	[TBD]	Hard to detect/jam, options: Look-down radar, radar ID, terrain-follow, detector	Maximum-Metal.pdf p.68, Chromebook 3-4
Look-down Radar	Radar (aerial, low targets)	[TBD]	[TBD]	10,000	R	[TBD]	[TBD]	Detects low-flying targets, only with military radar	Maximum-Metal.pdf p.68, Chromebook 3-4
Radar ID	Radar/Electronic	[TBD]	[TBD]	100,000	R	[TBD]	[TBD]	Matches signature after 2 turns, unknown targets imaged after 4 turns	Maximum-Metal.pdf p.68, Chromebook 3-4
Terrain-Follow Radar	Radar/Obstacle	[TBD]	[TBD]	1,000	C	[TBD]	[TBD]	Detects obstacles in darkness, can autosteer with autopilot	Maximum-Metal.pdf p.68, Chromebook 3-4
Radar Detector	Radar/Electronic	Detects radars at 150% of range	[TBD]	5,000	P	[TBD]	[TBD]	Detects civilian (100%), military (50%), can trigger chaff	Maximum-Metal.pdf p.68, Chromebook 3-4
Laser Detector	Laser/Optical	[TBD]	[TBD]	1,000	P	[TBD]	[TBD]	Detects laser strikes 90% of time, can trigger countermeasures	Maximum-Metal.pdf p.68, Chromebook 3-4
Light Amplification	Visual	[TBD]	[TBD]	500	C	[TBD]	[TBD]	Negates darkness mods, polarizes vs. searchlights	Maximum-Metal.pdf p.68, Chromebook 3-4
Image Enhancement	Visual/Electronic	[TBD]	[TBD]	2,500	C	[TBD]	[TBD]	Links to sensors, computer-assisted optics bonus	Maximum-Metal.pdf p.68, Chromebook 3-4
ECCM (Counter-Countermeasures)	Electronic	[TBD]	[TBD]	100,000	P	[TBD]	[TBD]	Negates ECM (electronic jamming) on 4-10, 1 space	Maximum-Metal.pdf p.68, Chromebook 3-4
